"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"char/no_connection";"Failed to connect to server. Please try again later.";"Impossible de se connecter au serveur. Veuillez réessayer ultérieurement.";"Impossibile connettersi al server. Riprova più tardi.";"Verbindung zum Server fehlgeschlagen. Bitte versuche es später erneut.";"Error al conectar con el servidor. Por favor, inténtelo de nuevo más tarde.";"Не удалось установить соединение с сервером. Повторите попытку.";"Błąd połączenia z serwerem. Proszę spróbować później.";"Nepodařilo se připojit k serveru, zkus to později";"Sunucuya bağlanılamadı. Lütfen daha sonra yeniden deneyin.";"服\t务\t器\t连\t接\t失\t败。\t请\t稍\t后\t重\t试。";"サーバーに\t接続できませんでした。\t後ほど\t改めてお\t試しください。";"Falha ao conectar ao servidor. Por favor tente mais tarde.";"Не вдалося з'єднатися з сервером. Спробуйте пізніше.";"Neuspešno povezivanje sa serverom. Molimo pokušajte kasnije.";"Nem sikerült kapcsolódni a szerverhez. Kérlek, próbáld újra később.";"서버에 연결하지 못했습니다. 나중에 다시 시도해 주십시오.";"Не ўдалося злучыцца з серверам. Паспрабуйце пазней.";"Conectare eșuată la server. Încearcă din nou mai târziu.";"無\t法\t連\t接\t伺\t服\t器，\t請\t稍\t後\t再\t試";"服\t务\t器\t连\t接\t失\t败。\t请\t稍\t后\t重\t试。";"Không thể kết nối tới máy chủ. Xin vui lòng thử lại sau.";;
"msgbox/add_to_squad_after_fight";"You cannot join the squad during the battle. After the battle is finished, you will join the squad automatically.";"Vous ne pouvez pas joindre l'équipe lors de la bataille. Une fois la bataille terminée, vous rejoindrez l'équipe automatiquement.";"Non puoi unirti alla squadra durante la battaglia. Appena terminata la battaglia, ti unirai automaticamente alla squadra.";"Du kannst der Staffel während der Schlacht nicht beitreten. Du wirst der Staffel automatisch nach Abschluss der Schlacht beitreten.";"No puede unirse al escuadrón durante la batalla. Cuando la batalla haya terminado, se unirá al escuadrón automáticamente.";"Вы не можете вступить в отряд во время боя. После завершения боя вы будете автоматически присоединены к отряду.";"Nie możesz dołączyć do oddziału podczas trwania bitwy. Po zakończeniu bitwy dołączysz do oddziału automatycznie.";"Nemůžeš se přidat do skupiny během bitvy, po skončení bitvy se do ní přidáš automaticky";"Savaş sırasında bir mangaya katılamazsınız. Savaş bittikten sonra otomatik olarak mangaya katılacaksınız.";"该\t小\t队\t正\t在\t游\t戏\t中，\t无\t法\t立\t刻\t加\t入，\t但\t游\t戏\t结\t束\t后\t会\t自\t动\t加\t入。";"戦闘中は\t分隊に\t参加できません。\t一旦戦闘が\t終了すると\t自動的に\t分隊に\t参加します。";"Não pode juntar-se à equipe durante a batalha. Após a batalha acabar, pode entrar automaticamente.";"Ви не можете приєднатися до загону під час битви. Після закінчення бою, ви будете приєднані до загону автоматично.";"Ne možete se pridružiti odredu tokom bitke. Po završetku bitke automatski ćete se pridružiti.";"Nem tudsz csatlakozni az osztaghoz csata közben. Miután a csatának vége, automatikusan csatlakozni fogsz az osztaghoz.";"전투를 하는 동안에는 편대에 들어갈 수 없습니다. 전투가 끝나면, 자동으로 편대에 참여합니다.";"Нельга ўступіць у звяз падчас бою. Пасля завяршэння бою вы будзеце аўтаматычна далучаны да звязу.";"Nu poți să te alături grupului în timpul bătăliei. După terminarea bătăliei, te vei alătura automat grupului.";"該\t小\t隊\t正\t在\t進\t行\t遊\t戲\t中，\t無\t法\t立\t刻\t加\t入，\t但\t遊\t戲\t結\t束\t後\t會\t自\t動\t加\t入";"This battle has to be finished first. You will join automatically after the battle.";"Bạn không thể tham gia biên đội trong trận chiến. Sau khi trận chiến kết thúc, bạn sẽ tự động tham gia biên đội.";;
"project_awards/gamescom2013/award";"Best simulation game";"Meilleur jeu de simulation";"Miglior gioco di simulazione";"Bestes Simulationsspiel";"Mejor juego de simulación";"Лучший симулятор";"Najlepsza gra symulacyjna";"Nejlepší simulátor";"En iyi simülasyon oyunu";"最\t佳\t模\t拟\t游\t戏";"最優秀\tシミュレーションゲーム\t賞";"Melhor jogo de simulação";"Найкращий симулятор";"Najbolja simulator igra";"A legjobb szimulátor";"최고의 시뮬레이션 게임상";"Найлепшы сімулятар";"Cel mai bun joc de simulare";"最\t佳\t模\t擬\t遊\t戲";"最\t佳\t模\t拟\t游\t戏";"Trò chơi giả lập hay nhất";;
"project_awards/gamescom2013";"– Gamescom 2013";"– Gamescom 2013";"– Gamescom 2013";"- Gamescom 2013";"– Gamescom 2013";"– Gamescom 2013";"- Gamescom 2013";"– Gamescom 2013";"– Gamescom 2013";"– Gamescom 科\t隆\t国\t际\t游\t戏\t展 2013";"– Gamescom 2013";"– Gamescom 2013";"– Gamescom 2013";"– Gamescom 2013";"– Gamescom 2013";"-게임스컴 2013";"– Gamescom 2013";"– Gamescom 2013";"– Gamescom 科\t隆\t國\t際\t遊\t戲\t展 2013";"– Gamescom 科\t隆\t国\t际\t游\t戏\t展 2013";"– Gamescom 2013";;
"project_awards/kri2013/award1";"Best game";"Meilleur jeu";"Miglior gioco";"Bestes Spiel";"Mejor juego";"Лучшая игра";"Najlepsza gra";"Nejlepší hra";"En iyi oyun";"最\t佳\t游\t戏";"最優秀\tゲーム\t賞";"Melhor jogo";"Найкраща гра";"Najbolja igra";"A legjobb játék";"최고의 게임상";"Найлепшая гульня";"Cel mai bun joc";"最\t佳\t遊\t戲";"最\t佳\t游\t戏";"Trò chơi hay nhất";;
"project_awards/kri2013/award2";"Best developer";"Meilleur développeur";"Miglior sviluppatore";"Bester Entwickler";"Mejor desarrollador";"Лучшая компания-разработчик";"Najlepszy developer";"Nejlepší vývojář";"En iyi geliştirici";"最\t佳\t开\t发\t商";"最優秀\tデベロッパー\t賞";"Melhor desenvolvedor";"Найкращий розробник";"Najbolji razvijač";"A legjobb fejlesztő";"최고의 개발자상";"Найлепшая кампанія-распрацоўшчык";"Cel mai bun dezvoltator";"最\t佳\t開\t發\t者";"最\t佳\t开\t发\t商";"Đội phát triển tốt nhất";;
"project_awards/kri2013/award3";"Best technology";"Meilleur de la technologie";"Miglior tecnologia";"Beste Technologie";"Mejor tecnología";"Лучшая технология";"Najlepsza technologia";"Nejlepší technologie";"En iyi teknoloji";"最\t佳\t技\t术";"最優秀\tテクノロジー\t賞";"Melhor tecnologia";"Найкраща технологія";"Najbolja tehnologija";"A legjobb technológia";"최고의 기술상";"Найлепшая тэхналогія";"Cea mai bună tehnologie";"最\t佳\t技\t術";"最\t佳\t技\t术";"Công nghệ tốt nhất";;
"project_awards/kri2013/award4";"Best sound design";"Meilleure conception sonore";"Migliori effetti sonori";"Bestes Sounddesign";"Mejor diseño de sonido";"Лучшее звуковое оформление";"Najlepszy design dźwięku";"Nejlepší zvuk";"En iyi ses tasarımı";"最\t佳\t音\t效";"最優秀音響\tデザイン\t賞";"Melhor design de som";"Найкраще звукове оформлення";"Najbolji zvuk";"A legjobb hangkivitelezés";"최고의 음향 디자인상";"Найлепшае гукавое афармленне";"Cel mai bun sunet";"最\t佳\t音\t效\t設\t計";"最\t佳\t音\t效";"Thiết kế âm thanh tốt nhất";;
"project_awards/kri2013";"– KRI Conference 2013";"– Conférence KRI 2013";"- Conference KRI 2013";"- KRI-Konferenz 2013";"– Conferencia KRI 2013";"– КРИ 2013";"- Konferencja KRI 2013";"– Konference KRI 2013";"– KRI 2013 Konferansı";"– KRI 俄\t罗\t斯\t游\t戏\t开\t发\t者\t大\t会 2013";"– KRI Conference 2013";"– KRI Conference 2013";"– KРІ 2013";"– KRI Konferencija 2013";"– KRI 2013";"-KRI 컨퍼런스 2013";"– КРИ 2013";"– Conferința KRI 2013";"– KRI 俄\t羅\t斯\t遊\t戲\t開\t發\t者\t大\t會 2013";"– KRI 俄\t罗\t斯\t游\t戏\t开\t发\t者\t大\t会 2013";"-Hội nghị KRI năm 2013";;
"project_awards/gmbox2013/award";"Best online game";"Meilleur jeu en ligne";"Miglior gioco online";"Bestes Online-Spiel";"Mejor juego en línea";"Лучшая онлайн-игра";"Najlepsza gra online";"Nejlepší online hra";"En iyi online oyun";"最\t佳\t网\t络\t游\t戏";"最優秀\tオンラインゲーム\t賞";"Melhor jogo online";"Найкраща онлайн гра";"Najbolja onlajn igra";"A legjobb online játék";"최고의 온라인 게임상";"Найлепшая online-гульня";"Cel mai bun joc online";"最\t佳\t線\t上\t遊\t戲";"最\t佳\t网\t络\t游\t戏";"Trò chơi trực tuyến hay nhất";;
"project_awards/gmbox2013";"– Gmbox (Igromir Expo 2013)";"– Gmbox (Igromir Expo 2013)";"– Gmbox (Igromir Expo 2013)";"- Gmbox (Igromir Expo 2013)";"– Gmbox (Igromir Expo 2013)";"– Gmbox (Игромир 2013)";"- Gmbox (Igromir Expo 2013)";"– Gmbox (Igromir Expo 2013)";"– Gmbox (Igromir Expo 2013)";"– Gmbox\t（Igromir 游\t戏\t展 2013）";"– Gmbox (Igromir Expo 2013)";"– Gmbox (Igromir Expo 2013)";"– Gmbox (Ігромір 2013)";"– Gmbox (Igromir Ekspo 2013)";"– Gmbox (Igromir Expo 2013)";"-Gmbox (Igromir 엑스포 2013)";"– Gmbox (Игромир 2013)";"– Gmbox (Igromir Expo 2013)";"– Gmbox (Igromir Expo 2013)";"– Gmbox\t（Igromir 游\t戏\t展 2013）";"-Gmbox ( hội chợ triển lãm Igromir năm 2013)";;
"project_awards/gameguru2013/award";"Best game for consoles";"Meilleur jeu sur consoles";"Miglior gioco per console";"Bestes Konsolenspiel";"Mejor juego para consolas";"Лучшая игра для консолей";"Najlepsza gra na konsole";"Nejlepší hra pro konzole";"Konsollar için en iyi oyun";"最\t佳\t主\t机\t游\t戏";"Best game for consoles";"Melhor jogo para computador";"Найкраща гра для консолей";"Najbolja igra za konzole";"A legjobb konzoljáték";"최고의 콘솔 게임상";"Найлепшая гульня на кансолях";"Cel mai bun joc pentru console";"最\t佳\t主\t機\t遊\t戲";"最\t佳\t主\t机\t游\t戏";"Trò chơi điều khiển tốt nhất";;
"project_awards/gameguru2013";"– GameGuru (Igromir Expo 2013)";"– GameGuru (Igromir Expo 2013)";"- GameGuru (Igromir Expo 2013)";"- GameGuru (Igromir Expo 2013)";"– GameGuru (Igromir Expo 2013)";"– GameGuru (Игромир 2013)";"- GameGuru (Igromir Expo 2013)";"– GameGuru (Igromir Expo 2013)";"– GameGuru (Igromir Expo 2013)";"– GameGuru\t（Igromir 游\t戏\t展 2013）";"– GameGuru (Igromir Expo 2013)";"– GameGuru (Igromir Expo 2013)";"– GameGuru (Ігромір 2013)";"– GameGuru (Igromir Ekspo 2013)";"– GameGuru (Igromir Expo 2013)";"-GameGuru (Igromir 엑스포 2013)";"– GameGuru (Игромир 2013)";"– GameGuru (Igromir Expo 2013)";"– GameGuru (Igromir Expo 2013)";"– GameGuru\t（Igromir 游\t戏\t展 2013）";"– GameGuru (Igromir Expo 2013)";;
"project_awards/gamestar2014/award1";"Gold award";"Gold award";"Gold award";"Gold-Auszeichnung";"Premio de oro";"Золотая награда";"Złota Nagroda";"Zlatá ocenění";"Altın ödül";"金\t奖";"ゴールドアワード";"Recompensa de Ouro";"Золота нагорода";"Zlatna Nagrada";"Arany díj";"금상";"Залатая ўзнагарода";"Medalia de aur";"金\t獎";"金\t奖";"Phần thưởng vàng";;
"project_awards/gamestar2014/award2";"For quality in multiplayer";"Pour la qualité en multijoueur";"Per qualità in multiplayer";"Für die Qualität des Mehrspieler-Modus";"Por la calidad en multijugador";"За качественный мультиплеер";"Za jakość w trybie multiplayer";"Za kvalitu v multiplayeru";"Çoklu oyundaki kalite için";"多\t人\t游\t戏\t表\t现\t优\t秀";"マルチプレイヤーでの\t品質に\t対して";"Para qualidade em Multiplayer";"За якісний мультиплеєр";"Za kvalitet u multiplejeru";"A többjátékos mód minőségéért";"멀티플레이어를 위한 퀄리티";"За якасны мультыплэер";"Pentru calitatea din modul cu multijucători";"多\t人\t遊\t戲\t表\t現\t優\t秀";"多\t人\t游\t戏\t表\t现\t优\t秀";"Chất lượng cho nhiều người chơi";;
"project_awards/gamestar2014";"– GameStar (2014/01)";"-GameStar (01/2014)";"– GameStar (2014/01)";"- GameStar (2014/01)";"– GameStar (2014/01)";"– GameStar (2014/01)";"- GameStar (2014/01)";"– GameStar (2014/01)";"– GameStar (2014/01)";"– GameStar 杂\t志\t（2014 / 01）";"– GameStar (2014/01)";"– GameStar (2014/01)";"– GameStar (2014/01)";"– GameStar (2014/01)";"– GameStar (2014/01)";"-게임스타 (2014년 1월)";"– GameStar (2014/01)";"– GameStar (2014/01)";"– GameStar (2014/01)";"– GameStar 杂\t志\t（2014 / 01）";"– GameStar (2014/01)";;
"mainmenu/switchToAdvancedControls";"Advanced controls";"Contrôles avancés";"Controlli avanzati";"Shooter-Steuerung";"Controles avanzados";"Продвинутые настройки";"Sterowanie zaawansowane";"Rozšířené ovládání";"Gelişmiş Kontroller";"进\t阶\t模\t式";"アドバンスコントロール";"Controles avançados";"Розширене керування";"Napredne kontrole";"Haladó irányítás";"고급 조작";"Пашыраныя налады";"Comenzi avansate";"進\t階\t控\t制\t模\t式";"进\t阶\t模\t式";"Điều khiển nâng cao";;
"mainmenu/switchToSimplifiedControls";"Simplified controls";"Contrôles simplifiés";"Controlli semplificati";"Vereinfachte Steuerung";"Controles simplificados";"Упрощённые настройки";"Sterowanie uproszczone";"Zjednodušené ovládání";"Basitleştirilmiş Kontroller";"简\t单\t模\t式";"シンプルコントロール";"Controlos simplificados";"Спрощене керування";"Pojednostavljene kontrole";"Egyszerűsített irányítás";"단순 조작";"Спрошчаныя налады";"Comenzi simplificate";"簡\t化\t控\t制\t模\t式";"简\t单\t模\t式";"Điều khiển cơ bản";;
"missions/no_missions_msgbox";"There are no missions of selected type";"Il n'y a pas de missions du type sélectionné";"Non ci sono missioni del tipo selezionato";"Keine Mission des ausgewählten Typs vorhanden";"No hay misiones del tipo seleccionado";"Нет миссий выбранного типа";"Nie ma misji wybranego typu";"Neexistují žádné mise vybraného typu";"Seçilen türde görev yok";"没\t有\t所\t选\t类\t型\t的\t任\t务";"選択された\tタイプの\tミッションがありません";"Não há missões do tipo selecionado";"Відсутні місії обраного типу";"Nema misija izabranog tipa";"Nincsenek küldetések a kiválasztott típusban";"선택한 종류의 임무가 없습니다.";"Няма місій выбранага тыпу";"Nu sunt misiuni de tipul selectat";"選\t擇\t的\t類\t型\t沒\t有\t任\t務";"没\t有\t所\t选\t类\t型\t的\t任\t务";"Không có nhiệm vụ cho lựa chọn này";;
"missions/user_missions/about";"You can download User missions created by other players, and put them in UserMissions folder in game root folder.";"Vous pouvez télécharger des missions utilisateur créées par d'autres joueurs et les mettre dans le dossier UserMissions dans le dossier racine de jeu.";"Puoi scaricare le Missioni Utenti create da altri giocatori e inserirle nella cartella UserMissions all'interno del gioco.";"Du kannst 'selbsterstellte Missionen' (von Spielern erstellte Missionen) spielen, indem du sie herunterlädst und in den Ordner 'UserMissions' im Spielverzeichnis platzierst.";"Usted puede descargar misiones de usuario creadas por otros jugadores, y ponerlas en la carpeta UserMissions dentro de la carpeta raíz juego.";"Вы можете скачивать пользовательские миссии, созданные другими игроками, и устанавливать их в папку UserMissions в корневой папке игры.";"Możesz pobrać Misje Użytkowników stworzone przez innych graczy, a następnie umieścić je w folderze UserMissions w głównym folderze gry.";"Můžeš si stáhnout uživatelské mise vytvořené jinými hráči a nahrát je do složky UserMissions v adresáři hry";"Diğer oyuncular tarafından yapılan Kullanıcı görevlerini indirip oyun kök dizinindeki UserMissions dizinine koyabilirsiniz.";"在\t网\t上\t下\t载\t到\t各\t种\t玩\t家\t自\t创\t任\t务\t后，\t再\t将\t其\t置\t于\t游\t戏\t根\t目\t录\t中\t的\t“UserMissions”\t文\t件\t夹\t内\t即\t可。";"他の\tプレイヤーが\t作成した「ユーザーミッション」\tを\tダウンロードして、\tゲームフォルダ\t内の「UserMissions」\tフォルダに\t入れることができます。";"Pode descarregar missões de usuário criadas por outros jogadores e colocá-los na pasta UserMissions na raiz do jogo.";"Ви можете завантажити користувацькі місії, які створені іншими гравцями, і  покласти їх у папку UserMissions в кореневій папці гри.";"Možete preuzeti korisničke misije kreirane od strane drugih igrača i staviti ih u direktorijum UserMission u osnovnom direktorijumu igre.";"Tölts le más játékosok által készített felhasználói küldetéseket, és helyezd ezeket a játék főkönyvtárában található UserMissions mappába.";"다른 플레이어가 만든 사용자 임무를 다운로드한 다음 게임 폴더 내의 UserMissions 폴더에 넣으세요.";"Вы можаце спампаваць карыстальніцкія місіі, якія стварылі іншыя гульцы, а потым змясціць іх у папку UserMissions, што знаходзіцца ў папцы гульні.";"Poți descărca «Misiuni utilizatori» create de alți jucători și care trebuie puse în folderul «UserMissions» din folderul rădăcină al jocului.";"你\t可\t以\t下\t載\t其\t他\t玩\t家\t創\t建\t的\t任\t務，\t並\t將\t它\t們\t放\t置\t在\t遊\t戲\t資\t料\t夾\t中\t的\tUserMissions\t資\t料\t夾\t內";"在\t网\t上\t下\t载\t到\t各\t种\t玩\t家\t自\t创\t任\t务\t后，\t再\t将\t其\t置\t于\t游\t戏\t根\t目\t录\t中\t的\t“UserMissions”\t文\t件\t夹\t内\t即\t可。";"Bạn có thể tải về ""Nhiệm vụ cá nhân"" do người chơi khác tạo ra và đưa vào thư mục ""UserMissions"" trong thư mục gốc của trò chơi.";;
"missions/user_missions/getOnline";"User missions on Live community center";"Missions utilisateur sur Live community center";"Missioni utente nel Live community center";"'Selbsterstellte Missionen' im Live Community Center";"Misiones de usuario en el Live community center";"Пользовательские миссии в Live сообществе";"Misje Użytkowników dostępne są do pobrania w Live Community Center.";"Uživatelské mise na Live community center";"Canlı topluluk merkezindeki kullanıcı görevleri";"点\t击\t链\t接\t前\t往\t玩\t家\t原\t创\t社\t区\t的\t自\t创\t任\t务\t子\t板\t块";"Live コミュニティセンターの\tユーザーミッション";"Missões de usuário no Live community center";"Користувацькі місії у Live спільноті";"Korisničke misije na live.warthunder.com zajednici";"Felhasználói küldetések a Live közösségi központban";"라이브 커뮤니티 센터의 사용자 임무";"Карыстальніцкія місіі ў Live-супольнасці";"«Misiuni utilizatori» în centrul comunității Live";"點\t擊\t下\t方\t連\t結\t前\t往 WarThunder Live";"点\t击\t下\t方\t链\t接\t前\t往\t玩\t家\t原\t创\t社\t区\t的\t自\t创\t任\t务\t子\t板\t块";"Tải nhiệm vụ cá nhân";;
"userlog/ClanRewardForRating";"You have been rewarded for high duel rating of your squadron.";"Vous avez été récompensés pour la cote élevée en duel de votre escadron.";"Sei stato premiato per le alte valutazioni di duello della tua squadriglia.";"Für die hohe Gefechtswertung deiner Kampfgruppe hast du eine Belohnung erhalten.";"Se te ha recompensado por la alta puntuación en duelos de tu escuadrón.";"Вы получили награду за высокий дуэльный рейтинг полка.";"Otrzymałeś nagrodę za wysoką ocenę pojedynkową twojego Dywizjonu.";"Dostal jsi odměnu za vysoké hodnocení tvého svazu";"Filonun yüksek düello puanından ötürü ödüllendirildin.";"联\t队\t所\t取\t得\t优\t异\t战\t绩\t离\t不\t开\t你\t的\t杰\t出\t贡\t献，\t在\t此\t特\t别\t予\t以\t奖\t励";"部隊の\t決闘\tレーティングで\t報酬を\t獲得しました。";"Foi recompensado pela elevada classificação de duelos do seu esquadrão.";"Ви отримали нагороду за високий дуельний рейтинг полку.";"Nagrađeni ste za visok duel rejting vaše eskadrile.";"Jutalomban részesültél a századod magas párbajértékeléséért.";"비행대가 높은 대결 평가 지수를 받아 보상을 획득하게 되었습니다.";"Вас узнагародзілі за высокі дуэльны рэйтынг вашага палка.";"Ai fost răsplătit pentru o cotare ridicată a duelurilor companiei tale.";"因\t聯\t隊\t的\t高\t評\t分\t優\t異\t表\t現\t而\t獲\t得\t獎\t勵";"联\t队\t所\t取\t得\t优\t异\t战\t绩\t离\t不\t开\t你\t的\t杰\t出\t贡\t献，\t在\t此\t特\t别\t予\t以\t奖\t励";"Bạn đã được thưởng vì chỉ số đấu đôi cao của quân đoàn của bạn.";;
"userlog/ClanRewardForRating1000";"You have been rewarded for achieving 1000 rating points.";"Vous avez été récompensé pour avoir atteindre 1000 points de classement.";"Sei stato premiato per aver raggiunto i 1000 punti.";"Du hast für das Erreichen einer Gefechtswertung von 1000 eine Belohnung erhalten.";"Se te ha recompensado por conseguir 1000 puntos de clasificación.";"Вы получили награду за достижение 1000 очков рейтинга.";"Otrzymałeś nagrodę za uzyskanie 1000 punktów rankingowych. ";"Dostal jsi odměnu za dosažení 1000 bodů hodnocení";"1000 derecelendirme puanına ulaştığın için ödüllendirildin.";"因\t达\t到 1000 作\t战\t评\t分，\t你\t获\t得\t了\t特\t殊\t奖\t励。";"1000\tレーティングポイント\t達成の\t報酬を\t獲得しました。";"Você recebeu uma recompensa por alcançar 1000 pontos de rating.";"Ви отримали нагороду за досягнення 1000 очок рейтингу.";"Nagrađeni ste za dostizanje 1000 rejting poena.";"Jutalomban részesültél az 1000 pontos értekelés eléréséért.";"비행대 평가 지수 1,000점을 달성하여 보상이 지급됩니다.";"Вас узнагародзілі за дасягненне 1000 ачкоў рэйтынга.";"Ai fost recompensat pentru obținerea a 1000 de puncte de cotare.";"因\t為\t達\t到 1000 積\t分\t等\t級\t而\t獲\t得\t特\t殊\t獎\t勵";"因\t达\t到 1000 作\t战\t评\t分，\t你\t获\t得\t了\t特\t殊\t奖\t励。";"Bạn đã được thưởng vì đạt được 1000 điểm xếp hạng.";;
"userlog/ClanRewardRatingReached";"The rating value of your squadron has reached <color=@userlogColoredText>{rating}</color>.";"La valeur de la cote de votre escadron a atteint <color=@userlogColoredText>{rating}</color>.";"La tua squadriglia ha raggiunto la posizione <color=@userlogColoredText>{rating}</color> nella graduatoria.";"Die Gefechtswertung deiner Kampfgruppe hat <color=@userlogColoredText>{rating}</color> erreicht.";"El valor de puntuación de su escuadrón ha llegado a <color=@userlogColoredText>{rating}</color>.";"Значение рейтинга вашего полка достигло <color=@userlogColoredText>{rating}</color>.";"Klasyfikacja twojego Dywizjonu osiągnęła <color=@userlogColoredText>{rating}</color>.";"Hodnocení tvého svazu dosáhlo <color=@userlogColoredText>{rating}</color>";"Filonun derecelendirme değeri <color=@userlogColoredText>{rating}</color> puana ulaştı.";"联\t队\t评\t分\t已\t变\t更\t为 <color=@userlogColoredText>{rating}</color>。";"部隊の\tレーティング\t値が<color=@userlogColoredText>{rating}</color>に\t達しました。";"O valor de classificação de seu esquadrão atingiu <color=@userlogColoredText>{rating}</color>.";"Значення рейтингу вашого полку досягло <color=@userlogColoredText>{rating}</color>.";"Vrednost rejtinga vaše eskadrile je dostigla <color=@userlogColoredText>{rating}</color>.";"A századod elért értékelése: <color=@userlogColoredText>{rating}</color>";"비행대 평가 지수가 <color=@userlogColoredText>{rating}</color>에 도달했습니다.";"Значэнне рэйтынга вашага палка дасягнула <color=@userlogColoredText>{rating}</color>.";"Valoarea cotării companiei a ajuns la <color=@userlogColoredText>{rating}</color>.";"聯\t隊\t評\t分\t等\t級\t已\t經\t達\t到 <color=@userlogColoredText>{rating}</color>";"联\t队\t评\t分\t已\t变\t更\t为 <color=@userlogColoredText>{rating}</color>。";"Giá trị xếp hạng của quân đoàn của bạn đã đạt được color=@userlogColoredText{rating}</color>.";;
"userlog/ClanSeasonRewardPlace1";"Your squadron took <color=@userlogColoredText>1st</color> place in last season of squadron battles.";"Votre escadron a pris la <color=@userlogColoredText>1ère</color> place dans la dernière saison de batailles d'Escadron.";"La tua squadriglia ha raggiunto il <color=@userlogColoredText>1°</color> posto nell'ultima stagione delle battaglie tra squadriglie.";"Deine Kampfgruppe hat in der letzten Saison der Kampfgruppen-Gefechte den <color=@userlogColoredText>1.</color> Platz erreicht.";"Su escuadrón alcanzó el <color=@userlogColoredText>1er</color> lugar en la última temporada de batallas de escuadrón.";"Ваш полк занял <color=@userlogColoredText>первое</color> место в прошедшем сезоне полковых боёв.";"Twój Dywizjon zajął <color=@userlogColoredText>pierwsze</color> miejsce w ostatnim sezonie Bitew Dywizjonów.";"Tvůj svaz získal <color=@userlogColoredText>1.</color> místo v minulé sezóně Svazových bitev";"Filonuz, filo savaşları sezonunda <color=@userlogColoredText>1.</color> oldu.";"你\t的\t联\t队\t在\t上\t赛\t季\t的\t联\t队\t战\t比\t赛\t中\t获\t得\t了\t<color=@userlogColoredText>\t冠\t军\t</color>。";"前回の\t部隊戦では <color=@userlogColoredText>1位</color> を\t獲得しました。";"Seu esquadrão obteve o <color=@userlogColoredText>1º</color> lugar na última temporada de batalhas de esquadrão.";"Ваш полк зайняв <color=@userlogColoredText>Перше</color> місце в минулому сезоні полкових боїв.";"Vaša eskadrila je uzela <color=@userlogColoredText>prvo</color> mesto u zadnjoj sezoni klanskih bitaka.";"A századod <color=@userlogColoredText>1.</color> helyezést ért el a századcsaták legutóbbi szezonjában.";"비행대가 지난 시즌 비행대 전투에서 <color=@userlogColoredText>1위</color>를 달성했습니다.";"Ваш полк заняў <color=@userlogColoredText>першае</color> месца ў мінулым сезоне палкавых баёў.";"Compania ta a obținut locul <color=@userlogColoredText>1</color> în ultimul sezon de lupte între companii.";"你\t的\t聯\t隊\t在\t上\t個\t賽\t季\t的\t聯\t隊\t戰\t中\t獲\t得\t了 <color=@userlogColoredText>\t第\t一\t名\t</color>";"你\t的\t联\t队\t在\t上\t赛\t季\t的\t联\t队\t战\t比\t赛\t中\t获\t得\t了\t<color=@userlogColoredText>\t冠\t军\t</color>。";"Quân đoàn của bạn đã giành vị trí <color=@userlogColoredText>đầu tiên</color> trong mùa giải đấu quân đoàn vừa qua.";;
